Tenant_ID,Tenant_Name,Email,Phone,Lease_ID,Property_Name,Unit_Number,Lease_Start,Lease_End,Monthly_Rent,Arrears_Amount,Due_Date,Property_Address,City,State,Country,Postal_Code,Payment_Method,Transaction_Status,Days_Overdue
TEN1152,Angela Edwards,dale79@rosales.com,719.458.6746x2973,LEASE652,Wolf-Keller,Unit 92,2023-12-20,2025-11-09,2263.79,2507.28,2025-04-20,"45737 Kelly Well, Davisport, MT 22983",East Melanie,Louisiana,Slovenia,53441,Standing Order,Pending,32
TEN1154,Gregory Jackson,browntonya@gmail.com,(807)688-4676x55340,LEASE654,Howard PLC,Unit 38,2021-01-05,2028-05-18,1995.0,2852.75,2025-03-04,"80288 Perry Path Suite 630, Adamsmouth, WY 61309",New Timothy,Delaware,Cuba,19530,Credit Card,Failed,79
TEN1178,Bradley Garner,nclark@yahoo.com,749-532-0093x17538,LEASE678,Wood PLC,Unit 87,2022-08-01,2025-09-27,1826.51,3375.97,2025-03-23,"2424 Becky Drive Apt. 931, Lake Brady, SC 88792",West Heather,Rhode Island,Micronesia,86263,Bank Transfer,In Arrears,60
TEN1184,Deborah Turner,robertwright@yahoo.com,535-064-4512,LEASE684,Hull-Jones,Unit 59,2022-12-22,2027-04-14,1597.65,2138.44,2025-03-05,"6770 Megan Motorway, West Heather, NH 09088",East Christineport,Florida,Bhutan,44972,Bank Transfer,In Arrears,78
TEN1192,Mark Robinson,rwilkins@braun.com,001-722-324-0798,LEASE692,"Kane, Ward and Williams",Unit 29,2020-07-27,2026-09-02,1574.15,1860.95,2025-02-26,"5722 Bates Curve, Vegachester, IL 73229",Millerland,Ohio,French Polynesia,9858,Credit Card,Failed,85
TEN1194,Brandy Rodriguez,tdiaz@hotmail.com,001-793-636-1931,LEASE694,"Jones, Glover and Phillips",Unit 2,2020-09-16,2026-10-14,2732.31,2179.28,2025-03-09,"8720 Daniel Pines, Taylormouth, MS 50597",Jasonshire,West Virginia,Indonesia,39442,Bank Transfer,Pending,74
TEN1195,Sabrina Hogan,brettjackson@yahoo.com,001-965-896-8115x0336,LEASE695,Miles Ltd,Unit 42,2021-04-22,2027-12-13,607.79,1788.65,2025-04-17,"134 Valdez Haven, West Bonnie, WI 90881",Pattersonport,Oklahoma,Senegal,81083,Bank Transfer,Pending,35
TEN1196,Christopher Carroll,tlopez@duke.net,001-024-784-6211x15270,LEASE696,Brown PLC,Unit 88,2022-10-14,2026-09-27,2633.14,2345.07,2025-04-03,"286 Christian Stream, Woodsland, GA 96807",South Tiffanyton,North Carolina,Thailand,24662,Credit Card,Failed,49
TEN1198,Diana Wilson,richard08@hotmail.com,001-889-656-9400,LEASE698,"Trujillo, Lee and Benton",Unit 81,2021-07-22,2025-12-27,1696.7,969.0,2025-04-04,"7013 Gregory Islands Suite 101, Mitchellville, LA 09642",New Julie,Illinois,Sao Tome and Principe,16320,Standing Order,Pending,48
TEN1200,Angie Prince,sarah33@price-thompson.info,(333)387-7946,LEASE700,Jones-Brown,Unit 63,2021-06-14,2025-09-27,2681.77,688.22,2025-02-23,"1614 Edwin Tunnel Suite 454, Robertsmouth, PA 49335",Lake Victoria,Virginia,Sri Lanka,73595,Bank Transfer,Completed,88
TEN1211,Zachary Wright,jellis@dixon.org,+1-396-753-7980,LEASE711,Krause-Evans,Unit 63,2020-12-09,2028-01-24,2844.99,1383.43,2025-03-28,"08944 Nicole Summit, Lisaville, KY 93672",Jonesville,Missouri,United Kingdom,45258,Credit Card,Completed,55
TEN1219,Yolanda Young,gjackson@woodard.com,+1-314-823-2905x490,LEASE719,Acosta Inc,Unit 26,2024-01-14,2027-06-22,2826.31,1388.02,2025-03-27,"423 Devin Ferry Suite 877, Brittanyport, ME 22165",Port Danieltown,Florida,Ukraine,22311,Bank Transfer,Pending,56
TEN1222,Lori Arroyo,garrett17@hotmail.com,191.045.6763x657,LEASE722,Rodriguez LLC,Unit 56,2022-10-25,2025-07-04,2428.79,1842.8,2025-03-06,"696 Jacob Prairie, Matthewhaven, SC 63560",East Haleyview,California,Grenada,74244,Cash,Completed,77
TEN1230,Joseph Carr,christinajordan@tran.com,(922)946-3082x502,LEASE730,Velez Inc,Unit 73,2024-04-21,2027-01-28,1324.56,3955.38,2025-03-11,"78919 Miller Mill Apt. 911, Lake Melissa, DC 64850",North Joshua,California,Dominican Republic,65571,Credit Card,Completed,72
TEN1234,Kim Thompson,deborahweaver@cook.com,(807)784-0131x567,LEASE734,Chapman PLC,Unit 5,2021-09-23,2025-10-11,888.38,1241.11,2025-04-05,"0274 Johnson Club Suite 612, Rhondashire, WI 19354",East Pattystad,Florida,Guernsey,36574,Credit Card,Failed,47
TEN1236,Jason Hall,ksimmons@harrison.com,(827)048-5033x974,LEASE736,"Mcdonald, Larsen and Yoder",Unit 18,2021-02-05,2027-06-30,626.48,1791.43,2025-02-24,"562 Harper Stream, Lake Angela, FL 15475",Harrisonport,Louisiana,Macao,20177,Bank Transfer,Pending,87
TEN1239,John White,tkim@porter.com,410-077-6912x084,LEASE739,Gregory-Freeman,Unit 63,2022-10-22,2026-04-16,2628.14,1418.75,2025-04-02,"9935 Daisy Drives, Kingmouth, SD 53724",Torreston,South Dakota,Svalbard & Jan Mayen Islands,26092,Bank Transfer,Pending,50
TEN1250,Joseph Livingston,eric04@miller-torres.com,(204)712-7703x4074,LEASE750,Mooney-Reyes,Unit 70,2021-05-06,2025-09-22,1803.94,3990.72,2025-04-03,"16670 Lori Squares Suite 514, Rickymouth, FL 19958",New Gregoryberg,Vermont,Peru,6059,Bank Transfer,Pending,49
TEN1258,Krystal Roberts,jaimewoods@paul.com,001-392-626-4939x0811,LEASE758,Frye-Winters,Unit 74,2020-06-09,2027-07-10,1794.25,2346.62,2025-04-06,"1224 Lauren Fort Suite 533, Rodriguezfurt, CO 82748",South Markborough,Tennessee,Nicaragua,2566,Standing Order,Pending,46
TEN1259,Jason Powers,stephanie40@hotmail.com,001-972-565-0017,LEASE759,Jackson-Jones,Unit 31,2022-01-05,2025-12-15,1620.33,2321.82,2025-03-13,"284 Baker Orchard, Lake Cynthiaport, GA 32558",West Karen,Indiana,Macedonia,68596,Bank Transfer,Completed,70
TEN1260,Adrian Sanders,qmorris@watson.com,(160)747-8555x24005,LEASE760,Morales-Henderson,Unit 29,2022-06-08,2025-11-11,2016.52,939.06,2025-03-11,"2133 Green Wall, Longmouth, OR 97043",Jeremyfurt,Indiana,Guyana,21630,Bank Transfer,In Arrears,72
TEN1261,Melissa Carter,jamesrussell@hotmail.com,363-260-8522x117,LEASE761,Kelly-Moody,Unit 36,2023-10-16,2026-03-01,514.57,3790.3,2025-03-21,"071 Tamara Green, Marybury, TX 59262",East Edwardview,New Hampshire,Comoros,66510,Credit Card,Completed,62
TEN1262,Jeffrey Henderson,jenniferthompson@bentley-kramer.net,(910)121-6028x7416,LEASE762,"Perry, Burgess and Adams",Unit 41,2020-11-06,2025-07-03,1144.89,1046.55,2025-02-21,"8659 Dean Bridge, West Mitchell, NM 64321",South Brittanyview,Delaware,Jordan,61053,Cash,Failed,90
TEN1268,Samuel Lynch,matthewmoran@gmail.com,+1-023-920-5661x495,LEASE768,Jones-Stephens,Unit 62,2021-12-25,2026-07-04,1878.27,1878.61,2025-03-08,"9232 Karen Junctions, Charlesview, KY 80757",New Audrey,Georgia,Belize,85625,Credit Card,Failed,75
TEN1272,Hayley Thompson,david50@kelly-reyes.info,+1-032-938-8364x78109,LEASE772,"Mathis, Nguyen and Dudley",Unit 10,2024-03-16,2026-12-19,1546.78,2988.15,2025-03-05,"72013 Tammy Street, New John, AR 90030",Moralesview,Arkansas,Switzerland,45492,Standing Order,Completed,78
TEN1278,Nicholas Smith,fgriffin@robinson.net,159.578.4058x4614,LEASE778,Graham-Taylor,Unit 24,2021-05-20,2027-07-09,2844.8,2443.58,2025-04-07,"91566 Amanda Street, New Kimberlyburgh, UT 83345",Chandlerview,Missouri,Albania,68860,Cash,In Arrears,45
TEN1279,Vanessa Gaines,khill@gmail.com,+1-430-440-0201x931,LEASE779,"Castillo, Stewart and Nguyen",Unit 88,2023-08-01,2028-04-14,668.44,2448.33,2025-04-15,"4993 Cynthia River Apt. 719, West April, IL 10951",Hullchester,Wyoming,Seychelles,97445,Cash,Failed,37
TEN1289,Tyler Morales,robertpreston@yahoo.com,004.177.7520x7320,LEASE789,Walker-Webb,Unit 82,2021-09-18,2027-06-17,1194.85,2680.8,2025-02-21,"618 Edwards Street Apt. 238, Priceland, NM 22201",Georgeton,Montana,Micronesia,29529,Bank Transfer,In Arrears,90
TEN1291,Jeffrey Dickson,gedwards@hotmail.com,531-006-6242x80752,LEASE791,"Navarro, Rodriguez and Olson",Unit 15,2022-07-07,2025-09-23,2762.18,2336.98,2025-04-09,"4046 Hall Junction, West Tanner, AK 60950",Washingtonfort,Kansas,Algeria,77944,Bank Transfer,Completed,43
TEN1300,Alex Johnson,bridgesmichael@hotmail.com,001-830-252-2819x33536,LEASE800,Rosario Inc,Unit 35,2023-06-01,2027-07-20,2971.54,3097.54,2025-03-13,"83819 Teresa Point Apt. 531, South Jeffrey, AL 18240",East Brianna,Texas,Maldives,67050,Bank Transfer,In Arrears,70
TEN1302,Diana Leonard,andrewbaldwin@yahoo.com,789.880.9464,LEASE802,Morris-Russell,Unit 65,2023-07-17,2025-10-08,2208.72,1825.35,2025-03-06,"250 William Ford Apt. 906, South Sharon, MS 35980",Port Travisbury,Louisiana,Netherlands,62597,Cash,Completed,77
TEN1303,Joseph Sexton,salazarmark@hotmail.com,001-040-120-9226,LEASE803,Porter Inc,Unit 47,2023-10-05,2025-08-30,1200.09,1119.6,2025-04-13,"40156 James Ferry, West Robert, NJ 07448",South Jeffrey,Nebraska,Tonga,2567,Credit Card,Failed,39
TEN1305,Katrina Villegas,brownjonathan@hotmail.com,(708)184-8777,LEASE805,Luna and Sons,Unit 30,2022-11-20,2028-02-24,1667.31,1440.72,2025-04-07,"8255 Douglas Tunnel Apt. 464, North Vincent, AK 10199",West John,Wyoming,Switzerland,72144,Bank Transfer,Completed,45
TEN1316,Julie Richardson,bmadden@yahoo.com,+1-083-027-8587x484,LEASE816,Thompson-Boyer,Unit 85,2023-12-16,2027-04-18,2085.05,3999.02,2025-03-30,"5243 Henry Path, Port Alexanderfort, KS 75081",Daviston,New Jersey,Philippines,84954,Credit Card,In Arrears,53
TEN1337,Robert Wyatt,hardyerica@parker.com,+1-090-225-6603x92203,LEASE837,"Medina, Fuentes and Hahn",Unit 79,2023-05-06,2027-06-27,697.86,3709.94,2025-04-05,"497 Lopez Parkway Apt. 672, Dunnton, IA 09588",Lake Josefurt,Alaska,Slovenia,72545,Cash,Failed,47
TEN1338,Steven Crane,vanessacampbell@duncan-kelley.info,+1-170-314-4527,LEASE838,Garcia-Stephens,Unit 84,2022-10-30,2025-08-26,658.17,3889.86,2025-03-20,"4114 Tamara Greens Apt. 255, Velazquezfurt, NM 36942",East Christopher,Arizona,Jersey,63386,Cash,Completed,63
TEN1342,Gail Walker,jackie58@yahoo.com,824.872.4948,LEASE842,Bailey Ltd,Unit 70,2023-08-09,2025-08-20,2100.2,1009.82,2025-03-03,"439 Johnson Junctions, East Brianton, CO 38479",West Sandra,South Dakota,Guam,32895,Credit Card,Pending,80
TEN1352,Jodi Taylor,pamela14@brock.com,001-792-380-0851,LEASE852,Lopez Ltd,Unit 39,2022-11-30,2027-08-01,971.82,2281.12,2025-04-05,"USCGC Beard, FPO AA 07003",Port Carol,Arizona,Saint Kitts and Nevis,95832,Standing Order,Pending,47
TEN1369,Cynthia Klein,thomasbarbara@bautista.com,745.055.5811x331,LEASE869,Marshall-Stevens,Unit 59,2023-06-05,2025-11-27,782.65,3693.5,2025-04-17,"38477 Wells Roads, Reedfort, UT 19596",New Gerald,Delaware,Solomon Islands,84909,Credit Card,In Arrears,35
TEN1371,Charles Rice,alexandrabutler@villanueva.com,344-287-3670x338,LEASE871,Monroe LLC,Unit 70,2020-10-05,2026-11-18,2622.58,1664.96,2025-03-13,"PSC 6971, Box 7175, APO AP 60828",Jamesborough,Nevada,French Guiana,48008,Standing Order,Pending,70
TEN1373,Peter Young,uwilliams@hotmail.com,967.873.1811x3827,LEASE873,"Chavez, Robinson and Burton",Unit 98,2024-05-10,2027-04-21,2088.23,655.49,2025-04-19,"8958 Tina Parkways, Charlestown, CA 30845",Rubioshire,Illinois,Saint Vincent and the Grenadines,13426,Cash,Pending,33
TEN1375,Karen Romero,christopher48@gmail.com,001-226-144-9159,LEASE875,Moran-Garcia,Unit 99,2022-09-18,2026-04-29,2702.08,2260.3,2025-04-16,"92514 Bowen Vista, New Grant, NE 35781",Lawrenceport,Illinois,Nauru,1476,Cash,Failed,36
TEN1378,Todd Hampton,jsmith@allen.info,+1-059-985-1208x84290,LEASE878,Manning-Howard,Unit 65,2023-03-01,2027-04-19,1904.45,3184.83,2025-03-02,"3380 Debra Divide Suite 747, Port Kevinburgh, AR 19331",Smithside,New Jersey,Paraguay,31236,Cash,Pending,81
TEN1384,Carla Johnson,chase51@yahoo.com,523-666-0342x11425,LEASE884,"Phillips, Lane and Rogers",Unit 90,2021-06-21,2027-08-04,2522.44,1601.11,2025-04-17,"643 Rachel Isle, Farmertown, KS 77264",Meganshire,Missouri,Belize,79357,Bank Transfer,Completed,35
TEN1385,Penny Pacheco,amber46@cervantes.biz,+1-995-851-2413,LEASE885,Smith-Haynes,Unit 98,2023-01-18,2028-05-05,1443.5,3709.82,2025-04-12,"85617 Jason Mountain, East Walter, SD 29305",South Bryanberg,Arizona,Cook Islands,32847,Bank Transfer,Pending,40
TEN1393,Noah Wilson,tstark@hart.com,221.554.7407x4619,LEASE893,Martinez LLC,Unit 5,2020-12-20,2028-01-10,846.19,774.27,2025-02-28,"27710 Goodwin Forge, Brianshire, MD 61836",Nicholsmouth,Nebraska,Ethiopia,50849,Cash,Completed,83
TEN1395,Melanie Meyer,tonyjones@nash-harris.org,099.541.4099,LEASE895,Maldonado PLC,Unit 44,2021-12-04,2027-08-10,544.34,2396.04,2025-04-18,"314 Alexa Pine, Port Amberfurt, NJ 41752",New Micheal,West Virginia,Serbia,21869,Cash,Failed,34
TEN1398,Ann Allen,matthewwood@yahoo.com,495-503-9677x88801,LEASE898,Butler-Miller,Unit 42,2020-06-22,2025-06-22,2958.35,744.33,2025-04-10,"PSC 3296, Box 9529, APO AE 08951",Angelabury,Missouri,Cook Islands,94687,Credit Card,Pending,42
TEN1400,Brenda Williams,elizabethherring@gmail.com,+1-469-740-5088x860,LEASE900,Sanchez and Sons,Unit 78,2024-03-26,2026-10-02,1467.39,2998.36,2025-03-15,"22364 Robert Forge Apt. 268, New Julieland, AL 34138",Taylorport,Nebraska,Pitcairn Islands,11629,Bank Transfer,Failed,68
TEN1402,Peter Green,amanda99@yahoo.com,+1-906-307-3595,LEASE902,Cruz Inc,Unit 81,2023-01-28,2027-03-18,1830.17,1626.76,2025-03-19,"52074 Bond Junction, New Haroldton, WY 38184",New Rogerburgh,Wisconsin,Korea,34399,Credit Card,In Arrears,64
TEN1410,Lisa Mitchell,kim07@jenkins-jones.info,724.511.0100x280,LEASE910,Griffin and Sons,Unit 1,2023-12-09,2027-07-27,1227.83,3155.62,2025-03-11,"1350 Daniel Land, East Valeriestad, UT 11238",Gonzalezbury,Montana,Norfolk Island,7970,Bank Transfer,Pending,72
TEN1411,Jennifer Morales,nhoward@hotmail.com,505-538-3356x79809,LEASE911,Dennis-Donovan,Unit 78,2022-12-11,2026-08-06,2412.58,3114.27,2025-03-01,"2380 Weaver Skyway Suite 662, Daniellefort, DE 88768",Josephview,Georgia,San Marino,58639,Cash,Pending,82
TEN1416,Malik Walker,tonyaroberts@yahoo.com,+1-332-244-5855x68192,LEASE916,Mccoy PLC,Unit 38,2023-08-05,2025-07-07,1695.08,502.53,2025-03-20,"7052 Salazar Stream Suite 096, West Gabrielfort, PA 29363",Kellyport,Pennsylvania,Dominica,48039,Credit Card,Pending,63
TEN1419,Crystal Skinner,websterholly@murray-bell.com,(632)836-6549x67804,LEASE919,Turner Inc,Unit 57,2022-06-07,2026-04-14,840.2,2451.69,2025-04-03,"937 Thomas Pike, West Donnaport, SD 05399",West Anneton,Georgia,Botswana,88130,Credit Card,Pending,49
TEN1421,Christy Perry,denise75@gmail.com,8641270762,LEASE921,Hill-Diaz,Unit 3,2024-02-21,2025-06-26,1525.52,1589.4,2025-03-30,"4079 Nicholas Inlet Suite 582, West Lawrence, NC 74958",Smithtown,Nebraska,Puerto Rico,40767,Credit Card,Failed,53
TEN1430,Mary Odonnell,steven08@hines.com,+1-090-826-5761x4737,LEASE930,Rios-Edwards,Unit 36,2024-03-09,2026-07-02,2846.67,2626.02,2025-03-20,"662 Wells Branch Suite 490, Dickersonmouth, MN 95795",New Gregoryshire,South Dakota,Australia,12637,Credit Card,Failed,63
TEN1438,Omar Edwards,markthornton@hotmail.com,(231)577-1054x6664,LEASE938,Singh Group,Unit 98,2021-12-12,2026-04-04,2823.67,540.38,2025-02-21,"USS Schultz, FPO AE 52706",North Crystalhaven,California,Palestinian Territory,56618,Credit Card,In Arrears,90
TEN1449,Scott Miller,tyler89@yahoo.com,327-335-5141x435,LEASE949,"Spencer, Tyler and Hill",Unit 91,2024-01-31,2026-06-13,2158.98,697.69,2025-02-27,"740 Dunn Valleys Suite 187, New Evelyn, OH 94673",North Michellestad,North Carolina,Pakistan,66257,Bank Transfer,Completed,84
TEN1450,Ryan Salinas,herreradavid@anderson.com,(773)280-8970,LEASE950,Campbell Group,Unit 94,2023-08-19,2027-02-13,2682.7,3374.23,2025-04-08,"335 Christian Plains, Valerieburgh, KS 04249",Port Davidport,Michigan,Bermuda,96626,Credit Card,Completed,44
TEN1451,Jason Lewis,simmonslisa@poole.com,857-942-1010,LEASE951,"Andersen, Fitzgerald and Bennett",Unit 90,2021-03-25,2027-11-15,1808.79,588.52,2025-04-01,"77006 Holder Plains Suite 194, Shawnton, LA 76414",New Stephenville,California,Netherlands,70328,Standing Order,In Arrears,51
TEN1454,Kevin Walker,pschmidt@yahoo.com,001-897-469-3372x585,LEASE954,Marsh PLC,Unit 48,2022-10-31,2026-02-19,1580.85,1241.22,2025-03-15,"797 Michael Square Apt. 282, East Donna, MI 50426",New Joseph,Florida,Tunisia,70697,Cash,Pending,68
TEN1457,Shawn Cooper,chad56@gmail.com,788.663.6865x544,LEASE957,Hill-Berg,Unit 97,2023-01-27,2025-08-13,550.6,983.89,2025-04-20,"794 Young Gateway Suite 942, Michaelville, RI 10231",Lake Brianaburgh,Arkansas,United States Minor Outlying Islands,66048,Bank Transfer,Completed,32
TEN1460,Brett Patel,dawn54@yahoo.com,+1-373-181-0057x3993,LEASE960,Guzman-Johnson,Unit 5,2022-04-10,2027-03-26,1255.2,3037.17,2025-04-05,"19169 Donald Wall, New Thomas, NH 39949",Salazarshire,North Carolina,Benin,51122,Credit Card,Failed,47
TEN1462,Jamie Taylor,jamesreyes@raymond.com,5617210535,LEASE962,Townsend-White,Unit 91,2021-09-22,2028-05-01,1123.41,839.34,2025-04-10,"798 George Underpass Apt. 841, Hannahside, ND 32613",Kariview,Idaho,United States Minor Outlying Islands,46475,Standing Order,In Arrears,42
TEN1484,Shirley Gross,ile@yahoo.com,267-984-6925,LEASE984,Barnes Ltd,Unit 11,2023-01-29,2028-02-12,758.29,3844.65,2025-03-21,"196 Erin Alley, South Reginaldview, ND 38321",Port Joseph,Arkansas,Greece,20199,Standing Order,Completed,62
TEN1491,Elizabeth Armstrong,hlee@gmail.com,438-863-3703,LEASE991,Ward Ltd,Unit 35,2021-11-15,2026-04-05,2082.72,3331.35,2025-03-30,"23765 Charles Glen Suite 381, Santosstad, WI 64018",North Bobbymouth,Maine,Cyprus,60125,Cash,Pending,53
TEN1492,Leslie Johnson,ryansnyder@allen.com,(995)313-0044x3976,LEASE992,"Smith, Estrada and Yoder",Unit 74,2021-12-27,2028-01-21,1229.43,1059.26,2025-02-21,"0354 Denise River, Dyerville, CT 22801",West Gregory,Louisiana,American Samoa,1258,Credit Card,In Arrears,90
TEN1518,Samuel Owens,jonesjessica@smith.com,123.842.2877x631,LEASE1018,Wilson-Malone,Unit 45,2021-09-18,2026-09-15,737.69,1235.21,2025-03-27,"38969 Palmer Lane, Goodmanchester, AL 12861",North Deannaton,Alaska,Malaysia,94042,Credit Card,Failed,56
TEN1521,Brenda Schmitt DVM,sandra41@hotmail.com,(449)455-9168x6950,LEASE1021,Pugh-Parker,Unit 60,2023-06-29,2027-09-08,2233.63,3187.98,2025-02-22,"66412 Ware Extension, North Derrick, CO 33064",South Jaimebury,Connecticut,Gabon,35430,Bank Transfer,Pending,89
TEN1528,Teresa Mcdonald,cooperkristina@gmail.com,410.211.3501x3950,LEASE1028,"Armstrong, Marquez and Lin",Unit 74,2020-07-26,2027-11-10,1371.92,1075.22,2025-02-23,"010 Robinson Loop, Maryfurt, HI 69142",West Scottburgh,Wisconsin,Saint Barthelemy,91258,Standing Order,In Arrears,88
TEN1532,Brent Vasquez,zwalker@ramirez-mercer.com,+1-669-080-0054x542,LEASE1032,Murphy Ltd,Unit 67,2020-11-27,2028-02-20,2860.99,1031.3,2025-03-02,"760 Melanie Mount, Christopherborough, OK 32594",East Valerie,California,Nepal,56799,Cash,Completed,81
